0003	79105	chr7	55212107	55213077	970	269	10.34980	29.63090	26.97754	70	Stem Cell	Embryo	primed UCLA1 hESCs	Normal
0040	61014	chr7	55212984	55213155	171	24	2.58909	4.43864	2.47236	96	Tissue	Brain	nucleus accumbens	Normal
0045	107138	chr7	55212819	55213225	406	62	3.13379	8.42201	6.26960	38	Tissue	Brain	prefrontal cortex	Normal
0046	121524	chr7	55212805	55213190	385	50	3.26589	7.16008	5.03117	34	Tissue	Brain	prefrontal cortex	Normal
0053	92728	chr7	55212896	55213248	352	37	2.99037	5.81210	3.75207	63	Tissue	Brain	nucleus accumbens	Normal
0715	61975	chr7	55213318	55213775	457	188	11.29000	21.94840	18.84203	294	Cell Line	Skin	BJ	Other
0716	70332	chr7	55213429	55213769	340	205	10.98833	23.65350	20.55631	216	Cell Line	Skin	BJ	Other
0717	64081	chr7	55213162	55213868	706	360	14.04229	39.43110	36.06453	497	Cell Line	Skin	BJ	Other
0718	50666	chr7	55213340	55213769	429	205	10.99806	23.66993	20.54415	313	Cell Line	Skin	BJ	Other
0815	78868	chr7	55212097	55213182	1085	125	6.97990	15.06704	12.51772	77	Stem Cell	iPSC	iPSC-NA18510	Other
1150	70600	chr7	55213277	55213512	235	35	3.65616	5.52051	3.54507	116	Cell Line	Fibroblast	FL3	Other
1451	61004	chr7	55212772	55213171	399	51	2.71228	7.03651	5.14255	184	Cell Line	Prostate	22RV-1	Prostate cancer
1452	38341	chr7	55212966	55213248	282	34	3.17354	5.45917	3.45371	163	Cell Line	Prostate	22RV-1	Prostate cancer
